year,city,region,expend,amount
2002,さいたま市,関東甲信越,その他の消費支出,809942 
2002,宇都宮市,関東甲信越,その他の消費支出,898440 
2002,横浜市,関東甲信越,その他の消費支出,700280 
2002,甲府市,関東甲信越,その他の消費支出,948128 
2002,新潟市,関東甲信越,その他の消費支出,831672 
2002,水戸市,関東甲信越,その他の消費支出,816889 
2002,千葉市,関東甲信越,その他の消費支出,774185 
2002,前橋市,関東甲信越,その他の消費支出,830457 
2002,長野市,関東甲信越,その他の消費支出,1040130 
2002,東京都区部,関東甲信越,その他の消費支出,736218 
2002,京都市,近畿,その他の消費支出,876868 
2002,神戸市,近畿,その他の消費支出,726610 
2002,大阪市,近畿,その他の消費支出,642098 
2002,大津市,近畿,その他の消費支出,784473 
2002,奈良市,近畿,その他の消費支出,757327 
2002,和歌山市,近畿,その他の消費支出,712145 
2002,宮崎市,九州・沖縄,その他の消費支出,726657 
2002,熊本市,九州・沖縄,その他の消費支出,705219 
2002,佐賀市,九州・沖縄,その他の消費支出,945845 
2002,鹿児島市,九州・沖縄,その他の消費支出,824505 
2002,大分市,九州・沖縄,その他の消費支出,967455 
2002,長崎市,九州・沖縄,その他の消費支出,683172 
2002,那覇市,九州・沖縄,その他の消費支出,577765 
2002,福岡市,九州・沖縄,その他の消費支出,806955 
2002,岡山市,中国・四国,その他の消費支出,822782 
2002,広島市,中国・四国,その他の消費支出,923714 
2002,高松市,中国・四国,その他の消費支出,950419 
2002,高知市,中国・四国,その他の消費支出,831377 
2002,山口市,中国・四国,その他の消費支出,910346 
2002,松江市,中国・四国,その他の消費支出,933729 
2002,松山市,中国・四国,その他の消費支出,788459 
2002,鳥取市,中国・四国,その他の消費支出,613657 
2002,徳島市,中国・四国,その他の消費支出,927959 
2002,岐阜市,中部・北陸,その他の消費支出,709675 
2002,金沢市,中部・北陸,その他の消費支出,1022707 
2002,静岡市,中部・北陸,その他の消費支出,834746 
2002,津市,中部・北陸,その他の消費支出,905997 
2002,富山市,中部・北陸,その他の消費支出,1563968 
2002,福井市,中部・北陸,その他の消費支出,684452 
2002,名古屋市,中部・北陸,その他の消費支出,626993 
2002,札幌市,北海道・東北,その他の消費支出,742629 
2002,山形市,北海道・東北,その他の消費支出,966502 
2002,秋田市,北海道・東北,その他の消費支出,1158674 
2002,盛岡市,北海道・東北,その他の消費支出,711792 
