year	sex	age	age_label	general_manager	manager	chief_clerk	foreman	non_title	regular	non_regular	total_worker	general_manager_ratio	manager_ratio	chief_clerk_ratio	foreman_ratio	non_title_ratio	regular_ratio	non_regular_ratio	regular_total_ratio	non_regular_total_ratio	pop_worker	employed	unemployed
2013	F	15	〜19歳			0		4061	5988	1479	7467			0	0	35.30383378	35.47603531	50.27192386	30.21038293	7.461782957	15.6	14.9	6.5
2013	F	20	20〜24歳		11	37	6	42707	64032	14481	78513	0	28.20512821	27.00729927	10	43.59191589	46.09736081	55.88099097	38.84965417	8.785948307	70.3	66	6.1
2013	F	25	25〜29歳	2	51	522	22	58959	85604	18753	104357	8	19.1011236	37.58099352	2.325581395	37.0036339	37.94924083	48.01689924	32.34856214	7.086498129	79	74.9	5.2
2013	F	30	30〜34歳	10	270	1252	125	45806	70181	18809	88990	4.132231405	13.44621514	16.73125752	4.292582418	32.19426483	29.9661402	51.49059651	25.92287519	6.947512282	70.1	67.2	4.2
2013	F	35	35〜39歳	53	731	2388	145	45312	73848	21027	94875	4.907407407	8.966024776	13.54355717	3.186112942	31.17204752	26.60029321	57.6872428	23.51315467	6.694982982	69.6	66.9	3.8
2013	F	40	40〜44歳	119	1377	2618	235	43229	71410	22195	93605	4.021628929	6.349425923	13.05865922	4.942166141	32.62344445	25.21690921	62.88426123	22.42227093	6.969084207	73.1	70.2	4
2013	F	45	45〜49歳	400	2109	2246	241	34335	60770	21891	82661	4.606172271	8.55716952	15.06371563	6.856330014	33.87865452	25.49633309	64.40802636	22.31434698	8.038232184	76.1	73.7	3.2
2013	F	50	50〜54歳	686	1883	1763	224	28337	52379	20107	72486	5.360212533	9.097497343	15.86858686	9.372384937	34.32832205	25.29897604	63.55131325	21.94537433	8.424285337	74.9	72.8	3.1
2013	F	55	55〜59歳	570	1140	1481	124	22566	41937	17838	59775	5.10615426	9.137544085	19.80476063	6.243705942	30.95218501	24.09050959	56.70597959	20.40352636	8.678687153	66.5	64.7	2.7
2013	F	60	60〜64歳	131	115	103	22	8786	18387	17558	35945	6.798131811	11.95426195	18.19787986	20	33.84176874	24.75563454	28.35319575	13.5	12.89133627	47.4	46	3
2013	F	65	65〜69歳	25	29	21	19	2379	5377	4458	9835	5.030181087	33.72093023	39.62264151	86.36363636	39.86260054	26.0210995	24.95661423	13.95644613	11.57110598	29.8	29.3	1.5
2013	F	70	70歳〜	26	29			624	2226	1414	3640	23.00884956	51.78571429	0		38.58998145	30.40983607	29.40320233	18.35270838	11.65800973	8.6	8.5	0.9
2012	F	15	〜19歳					4110	6058	1448	7506					33.17191283	34.80009191	39.8568676	28.79140725	6.881802196	14.6	13.6	7
2012	F	20	20〜24歳		4	27	13	44949	66281	14714	80995	0	21.05263158	41.53846154	20.63492063	43.52191636	45.78713586	53.19018183	38.4411502	8.533713795	68.7	63.5	7.1
2012	F	25	25〜29歳		61	262	90	67232	94852	22080	116932	0	22.59259259	23.88331814	11.49425287	38.47721081	38.54753825	51.93705455	32.86875645	7.651310911	77.6	73.3	5.6
2012	F	30	30〜34歳	6	285	1012	162	52908	78150	20425	98575	1.485148515	14.67559217	13.81192848	5.619146722	33.55573596	30.8197704	52.09794669	26.6927617	6.976323196	68.6	65.6	4.5
2012	F	35	35〜39歳	51	684	2273	227	47282	76100	22373	98473	3.64806867	6.713121994	12.51238578	4.423226812	29.79670032	25.65096486	56.2079188	22.61656745	6.649151953	67.7	64.7	4.4
2012	F	40	40〜44歳	232	1787	2813	164	45658	74520	23247	97767	4.668947474	7.210006052	13.15100514	3.449001052	33.84907367	25.85013719	59.90105388	22.78299897	7.107305112	71.7	68.7	4.5
2012	F	45	45〜49歳	561	2100	2457	131	33612	60895	21801	82696	5.473704752	8.136696501	16.66327569	3.252234359	33.5693669	25.8108406	64.54392042	22.57837267	8.083276172	75.7	73	3.6
2012	F	50	50〜54歳	845	1498	1810	156	28962	53947	20697	74644	5.00770416	7.362988449	17.02567962	3.827281649	35.51484384	25.70385794	63.79103098	22.26234298	8.541044222	73.4	71	3.2
2012	F	55	55〜59歳	458	922	1059	199	23556	42274	18350	60624	3.762115985	7.57662914	13.85219097	5.771461717	30.46677962	23.34226001	54.03893159	19.65665715	8.532423208	64.6	62.6	2.7
2012	F	60	60〜64歳	193	284	51	14	8548	19368	18332	37700	9.155597723	18.88297872	8.485856905	12.96296296	32.80626343	24.532293	28.33822847	13.48380315	12.76255056	45.8	44.5	3.3
2012	F	65	65〜69歳	8	27	6	1	2136	4993	3848	8841	2.702702703	29.34782609	28.57142857	7.142857143	40.13528749	27.38291105	27.74533131	15.55306358	11.98641871	28.3	27.8	1.7
