year	sex	age	age_label	age4data	pop_worker	employed	unemployed	regular	non_regular
2013	F	15	15〜19歳	17.5	15.6	14.9	6.5	47.7	52.3
2013	F	20	20〜24歳	22.5	70.3	66	6.1		
2013	F	25	25〜29歳	27.5	79	74.9	5.2	58.6	41.4
2013	F	30	30〜34歳	32.5	70.1	67.2	4.2		
2013	F	35	35〜39歳	37.5	69.6	66.9	3.8	45.2	54.8
2013	F	40	40〜44歳	42.5	73.1	70.2	4		
2013	F	45	45〜49歳	47.5	76.1	73.7	3.2	40.8	59.2
2013	F	50	50〜54歳	52.5	74.9	72.8	3.1		
2013	F	55	55〜59歳	57.5	66.5	64.7	2.7	32.5	67.5
2013	F	60	60〜64歳	62.5	47.4	46	3		
2013	F	65	65〜69歳	67.5	29.8	29.3	1.5	26.3	73.7
2013	F	70	70歳以上	72.5	8.6	8.5	0.9		
2012	F	15	15〜19歳	17.5	14.6	13.6	7	49.4	50.6
2012	F	20	20〜24歳	22.5	68.7	63.5	7.1		
2012	F	25	25〜29歳	27.5	77.6	73.3	5.6	59.1	40.9
2012	F	30	30〜34歳	32.5	68.6	65.6	4.5		
2012	F	35	35〜39歳	37.5	67.7	64.7	4.4	46.2	53.8
2012	F	40	40〜44歳	42.5	71.7	68.7	4.5		
2012	F	45	45〜49歳	47.5	75.7	73	3.6	41.6	58.4
2012	F	50	50〜54歳	52.5	73.4	71	3.2		
2012	F	55	55〜59歳	57.5	64.6	62.6	2.7	34.6	65.4
2012	F	60	60〜64歳	62.5	45.8	44.5	3.3		
2012	F	65	65〜69歳	67.5	28.3	27.8	1.7	28.6	71.4
2012	F	70	70歳以上	72.5	8.7	8.6	0.9		
2011	F	15	15〜19歳	17.5	14.9	13.8	7.1	50.6	49.4
2011	F	20	20〜24歳	22.5	68.2	63.5	6.9		
2011	F	25	25〜29歳	27.5	77.4	72.6	5.7	59	41
2011	F	30	30〜34歳	32.5	67.5	64.1	4.7		
2011	F	35	35〜39歳	37.5	67.1	64.1	4.2	45.4	54.6
2011	F	40	40〜44歳	42.5	70.8	67.6	4.5		
2011	F	45	45〜49歳	47.5	75.8	72.9	3.8	42.2	57.8
2011	F	50	50〜54歳	52.5	72.5	70.1	3.0		
2011	F	55	55〜59歳	57.5	63.7	62.0	2.8	34	66
2011	F	60	60〜64歳	62.5	46.1	44.6	3.4		
2011	F	65	65〜69歳	67.5	27.6	27.1	1.8	29.3	70.7
2011	F	70	70歳以上	72.5	8.7	8.6			
2010	F	15	15〜19歳	17.5	15.9	14.6	8.5	50.4	49.6
2010	F	20	20〜24歳	22.5	69.4	63.6	7.9		
2010	F	25	25〜29歳	27.5	77.1	72.7	6.1	58.6	41.4
2010	F	30	30〜34歳	32.5	67.8	64.1	5.4		
2010	F	35	35〜39歳	37.5	66.2	62.6	5.4	46.3	53.7
