年齢【歳】	勤続年数【年】	所定内実労働時間数【時間】	超過実労働時間数【時間】	きまって支給する現金給与額【千円】	所定内給与額【千円】	年間賞与その他特別給与額【千円】	労働者数【十人】	code	label	year	salary	working_time
46.8	14.2	162	14	341.3	311.9	1030.9	1271	C	鉱業，採石業，砂利採取業	2013	5126.5	176
44.4	14.1	169	13	343.3	317	730.1	146922	D	建設業	2013	4849.7	182
44.8	13.7	170	12	352.6	327.9	781.5	76090	D06	総合工事業	2013	5012.7	182
44.4	11.9	173	11	312.5	292.4	326.6	23046	D07	職別工事業（設備工事業を除く）	2013	4076.6	184
43.6	15.7	165	16	343.3	311.6	842.9	47785	D08	設備工事業	2013	4962.5	181
41.8	14	163	16	324.9	289.9	902	576367	E	製造業	2013	4800.8	179
43.4	10.5	168	16	247.7	221.7	426.6	62955	E09	食料品製造業	2013	3399	184
42.2	14	163	12	314.6	286	936.5	7663	E10	飲料・たばこ・飼料製造業	2013	4711.7	175
43.3	13.7	171	9	239.4	224.7	460.1	19198	E11	繊維工業	2013	3332.9	180
42.8	11.7	175	15	262.1	236.9	446.8	5911	E12	木材・木製品製造業(家具を除く)	2013	3592	190
42.4	13.2	168	13	279.1	256.7	487.6	5893	E13	家具・装備品製造業	2013	3836.8	181
41.6	13.8	166	14	298.1	266.8	753.8	13597	E14	パルプ・紙・紙加工品製造業	2013	4331	180
41	13.3	171	18	306	269.9	490.5	18197	E15	印刷・同関連業	2013	4162.5	189
41.4	15.5	155	11	378.6	347.9	1424.2	35939	E16	化学工業	2013	5967.4	166
44.3	18.2	156	15	414.8	362.7	1661.8	1978	E17	石油製品・石炭製品製造業	2013	6639.4	171
41.1	11.8	169	17	291.3	259.5	655.7	28315	E18	プラスチック製品製造業(別掲を除く)	2013	4151.3	186
41.4	13.9	163	17	318.1	278	952.1	9712	E19	ゴム製品製造業	2013	4769.3	180
47.2	14.3	168	4	235.2	228.9	267.4	1014	E20	なめし革・同製品・毛皮製造業	2013	3089.8	172
44.2	13.7	168	16	310.4	280.9	676.8	18644	E21	窯業・土石製品製造業	2013	4401.6	184
41.2	15.9	159	20	350.4	301.7	1084.9	18348	E22	鉄鋼業	2013	5289.7	179
41.3	14.4	162	17	340	299.5	941.6	11207	E23	非鉄金属製造業	2013	5021.6	179
42.4	12.9	170	16	302.3	272	691.5	37664	E24	金属製品製造業	2013	4319.1	186
41.6	14.8	163	17	341.4	303.7	1128.1	26701	E25	はん用機械器具製造業	2013	5224.9	180
41.8	14.3	165	18	345.9	308.9	1020.6	39969	E26	生産用機械器具製造業	2013	5171.4	183
41.4	14.7	163	12	347.3	320.3	1124.9	20563	E27	業務用機械器具製造業	2013	5292.5	175
41.3	14.9	159	14	340.3	306.8	861.1	36819	E28	電子部品・デバイス・電子回路製造業	2013	4944.7	173
42.6	16	161	16	356.2	319	1064.5	40645	E29	電気機械器具製造業	2013	5338.9	177
42.4	17.2	158	14	403.8	369.7	1332.8	20598	E30	情報通信機械器具製造業	2013	6178.4	172
39.9	14.3	156	21	354.9	303	1150.9	83432	E31	輸送用機械器具製造業	2013	5409.7	177
41.5	13.3	167	14	298.4	271.6	713.8	11406	E32	その他の製造業	2013	4294.6	181
41.4	19.2	149	15	462.5	406.5	1296.6	15709	F	電気・ガス・熱供給・水道業	2013	6846.6	164
41.1	20.5	146	17	494.1	429.3	1250	11624	F33	電気業	2013	7179.2	163
40.9	17.6	153	10	407.5	370	1752.3	2794	F34	ガス業	2013	6642.3	163
44.4	13.6	150	12	385.9	349.1	1307.1	140	F35	熱供給業	2013	5937.9	162
45.1	10.8	162	5	286	271.8	659.6	1151	F36	水道業	2013	4091.6	167
39.7	12.4	154	13	407.4	376.2	1157.5	102148	G	情報通信業	2013	6046.3	167
42.9	18.4	153	14	387.6	353.8	1225.6	9665	G37	通信業	2013	5876.8	167
39.3	12.4	152	17	443.7	385.9	1749.6	5115	G38	放送業	2013	7074	169
38.9	11.4	154	13	399.3	372.2	1115.9	73740	G39	情報サービス業	2013	5907.5	167
33	5.3	164	19	342	309.5	513.6	704	G40	インターネット附随サービス業	2013	4617.6	183
42.2	13.8	155	14	457.7	415.6	1145.1	12923	G41	映像・音声・文字情報制作業	2013	6637.5	169
45.8	11.9	169	29	308.3	258.5	529.9	201423	H	運輸業，郵便業	2013	4229.5	198
40.9	19.1	152	14	390.4	341.3	1581.5	19460	H42	鉄道業	2013	6266.3	166
54	10.6	172	26	259.7	214	357.3	38122	H43	道路旅客運送業	2013	3473.7	198
45.2	11.1	174	37	308.5	251.2	316.6	106818	H44	道路貨物運送業	2013	4018.6	211
42.7	11.7	164	13	374.8	346	756.7	1552	H45	水運業	2013	5254.3	177
40.1	12.9	154	7	444.2	418.6	1125.2	2153	H46	航空運輸業	2013	6455.6	161
42.3	10.8	167	18	288.6	257.8	583.7	8548	H47	倉庫業	2013	4046.9	185
41.9	11.7	160	18	307.7	272.3	821.4	21752	H48	運輸に附帯するサービス業	2013	4513.8	178
41.7	13.4	157	14	314.6	286.9	685.5	3018	H49	郵便業（信書便事業を含む）	2013	4460.7	171
41	12.5	167	10	311.5	293.3	792.1	333543	I	卸売業，小売業	2013	4530.1	177
42	13.5	166	10	340.3	321.7	975.4	179323	I50〜55	卸売業	2013	5059	176
41.3	15.5	154	11	509.1	477.2	3163.4	2693	I50	各種商品卸売業	2013	9272.6	165
40.9	12.2	169	4	294.8	287.8	605.7	10786	I51	繊維・衣服等卸売業	2013	4143.3	173
43	12.6	170	13	303.9	282.1	666.1	37135	I52	飲食料品卸売業	2013	4312.9	183
42.4	12.3	169	9	324.8	308.1	818.8	32616	I53	建築材料，鉱物・金属材料等卸売業	2013	4716.4	178
41.6	15	163	11	356.5	334.7	1145.4	56422	I54	機械器具卸売業	2013	5423.4	174
41.5	13.3	164	7	365.2	350.2	1104.1	39671	I55	その他の卸売業	2013	5486.5	171
40	11.3	169	11	278	260.2	578.9	154220	I56〜61	小売業	2013	3914.9	180
43.3	15.5	162	6	280.5	270.1	660.7	13548	I56	各種商品小売業	2013	4026.7	168
37.9	9.6	168	8	269.7	257.4	486	8334	I57	織物・衣服・身の回り品小売業	2013	3722.4	176
41.3	10.5	170	10	254.1	237.8	382.6	47922	I58	飲食料品小売業	2013	3431.8	180
38.1	12.8	168	13	309.5	286.6	879.2	41398	I59	機械器具小売業	2013	4593.2	181
40	9.9	170	9	273.7	256.6	503.6	37989	I60	その他の小売業	2013	3788	179
36.6	8.3	167	14	285	261.3	479.9	5030	I61	無店舗小売業	2013	3899.9	181
42	13.6	149	12	391.3	363.4	1251.6	97597	J	金融業，保険業	2013	5947.2	161
39.1	14.4	152	19	406.3	359.9	1480.3	26675	J62	銀行業	2013	6355.9	171
39.6	15.9	155	10	348.9	327.1	1248.9	14822	J63	協同組織金融業	2013	5435.7	165
41.1	14.3	152	16	401.4	363.4	1349.1	5863	J64	貸金業，クレジットカード業等非預金信用機関	2013	6165.9	168
40.4	13.1	155	15	524.1	486.5	1213.5	10162	J65	金融商品取引業，商品先物取引業	2013	7502.7	170
44	11.2	146	9	408.1	386.1	1300.3	1657	J66	補助的金融業等	2013	6197.5	155
45.4	12.4	142	6	359.7	346.2	1087	38417	J67	保険業(保険媒介代理業,保険サービス業を含む)	2013	5403.4	148
42.6	9.9	163	11	338.1	316.7	877	29147	K	不動産業，物品賃貸業	2013	4934.2	174
39.9	9.1	167	9	385.1	366.3	1010.9	6817	K68	不動産取引業	2013	5632.1	176
45.5	9.6	158	9	325.3	305.7	882.5	11640	K69	不動産賃貸業・管理業	2013	4786.1	167
41.1	10.7	165	14	322	297	785.6	10690	K70	物品賃貸業	2013	4649.6	179
