category	salary	ave_age	ave_year	working_time_stabdard	working_hour_extra	salary_standard	bonus	employees	age_label	age	annual_income	year	salary_index
C 鉱業，採石業，砂利採取業	165.4	22.8	2.5	181	21	143.3	347.8	418	２０〜２４歳	25	233.26	1981	1
C 鉱業，採石業，砂利採取業	195	27.6	4.5	186	23	169.6	448.9	638	２５〜２９歳	30	278.89	1981	1.1956186229957986
C 鉱業，採石業，砂利採取業	215.5	32.6	6.9	187	21	189.6	533.3	971	３０〜３４歳	35	311.93	1981	1.337263139843951
C 鉱業，採石業，砂利採取業	231.7	37.7	9.3	187	22	202.5	619.2	864	３５〜３９歳	40	339.96	1981	1.4574294778358912
C 鉱業，採石業，砂利採取業	243.1	42.6	12.6	185	23	211.5	666.7	1248	４０〜４４歳	45	358.39	1981	1.5364400240075453
C 鉱業，採石業，砂利採取業	249.7	47.5	15.1	184	24	215.6	692.6	1551	４５〜４９歳	50	368.9	1981	1.581497041927463
C 鉱業，採石業，砂利採取業	250.1	52.4	20	182	24	215.9	773.2	1518	５０〜５４歳	55	377.44	1981	1.618108548400926
C 鉱業，採石業，砂利採取業	202.7	57.1	13.9	186	17	183	529.6	517	５５〜５９歳	60	296.2	1981	1.2698276601217526
C 鉱業，採石業，砂利採取業	179.1	62	8.5	190	12	167.7	335.2	203	６０〜６４歳	65	248.44	1981	1.0650775958158278
C 鉱業，採石業，砂利採取業	170	22.7	2.6	183	18	149.9	368.1	419	２０〜２４歳	25	240.81	1982	1
C 鉱業，採石業，砂利採取業	203	27.6	4.5	188	21	177.3	469.9	607	２５〜２９歳	30	290.59	1982	1.206718990075163
C 鉱業，採石業，砂利採取業	222.1	32.6	6.9	188	23	193.1	536.2	884	３０〜３４歳	35	320.14	1982	1.3294298409534486
C 鉱業，採石業，砂利採取業	233.9	37.6	8.7	188	21	205.2	581.3	820	３５〜３９歳	40	338.81	1982	1.4069598438603048
C 鉱業，採石業，砂利採取業	251.1	42.6	12.3	186	23	218.8	684.6	1111	４０〜４４歳	45	369.78	1982	1.5355674598230968
C 鉱業，採石業，砂利採取業	260.7	47.6	15.5	185	23	226.6	733.2	1435	４５〜４９歳	50	386.16	1982	1.6035878908683194
C 鉱業，採石業，砂利採取業	260.1	52.5	20.5	184	25	222.9	785.6	1431	５０〜５４歳	55	390.68	1982	1.622357875503509
C 鉱業，採石業，砂利採取業	217	57.2	14.5	188	18	195.3	575.4	530	５５〜５９歳	60	317.94	1982	1.3202940077239318
C 鉱業，採石業，砂利採取業	179.9	62.2	10.7	190	13	167.1	368.6	175	６０〜６４歳	65	252.74	1982	1.04954113201279
C 鉱業，採石業，砂利採取業	174.3	22.7	2.4	184	18	153.6	384.4	407	２０〜２４歳	25	247.6	1983	1
C 鉱業，採石業，砂利採取業	208.4	27.7	4.5	186	21	182.1	472.6	573	２５〜２９歳	30	297.34	1983	1.2008885298869143
C 鉱業，採石業，砂利採取業	229	32.6	6.8	188	22	200.1	544.2	859	３０〜３４歳	35	329.22	1983	1.3296445880452343
C 鉱業，採石業，砂利採取業	239.3	37.4	8.5	188	20	211	572.6	801	３５〜３９歳	40	344.42	1983	1.3910339256865913
C 鉱業，採石業，砂利採取業	257.7	42.5	11.7	187	22	225.3	679.5	1038	４０〜４４歳	45	377.19	1983	1.5233844911147012
C 鉱業，採石業，砂利採取業	263.9	47.6	14.9	186	22	229.5	720.3	1249	４５〜４９歳	50	388.71	1983	1.5699111470113085
C 鉱業，採石業，砂利採取業	269.2	52.4	19.3	185	24	231.7	789.4	1395	５０〜５４歳	55	401.98	1983	1.6235056542810986
C 鉱業，採石業，砂利採取業	222.2	57.2	14.4	190	16	200.8	566.5	485	５５〜５９歳	60	323.29	1983	1.3056946688206785
C 鉱業，採石業，砂利採取業	188.5	62.1	10.5	189	12	175.8	386.1	154	６０〜６４歳	65	264.81	1983	1.069507269789984
C 鉱業，採石業，砂利採取業	188.4	22.7	2.7	187	19	164.8	403.5	377	２０〜２４歳	25	266.43	1984	1
C 鉱業，採石業，砂利採取業	211.6	27.6	4.3	188	21	185.4	499	526	２５〜２９歳	30	303.82	1984	1.1403370491311038
C 鉱業，採石業，砂利採取業	236.3	32.7	6.7	190	23	205.5	567.6	806	３０〜３４歳	35	340.32	1984	1.2773336335998198
C 鉱業，採石業，砂利採取業	248.1	37.2	8.9	191	22	216.9	609.3	868	３５〜３９歳	40	358.65	1984	1.3461321923206846
C 鉱業，採石業，砂利採取業	265.7	42.6	11.9	190	22	232.6	692.3	965	４０〜４４歳	45	388.07	1984	1.456555192733551
C 鉱業，採石業，砂利採取業	272.6	47.6	14.9	187	22	238.6	732.4	1174	４５〜４９歳	50	400.36	1984	1.5026836317231542
C 鉱業，採石業，砂利採取業	274.9	52.4	18.9	187	23	238.3	794.5	1261	５０〜５４歳	55	409.33	1984	1.5363510115227264
C 鉱業，採石業，砂利採取業	229.6	57.2	15.1	191	18	206.5	568.3	493	５５〜５９歳	60	332.35	1984	1.2474195848815826
C 鉱業，採石業，砂利採取業	193.8	62	11.2	192	12	180.5	332.6	140	６０〜６４歳	65	265.82	1984	0.9977104680403858
C 鉱業，採石業，砂利採取業	188.4	22.8	2.8	182	18	165.6	402.6	348	２０〜２４歳	25	266.34	1985	1
C 鉱業，採石業，砂利採取業	219.2	27.6	4.7	183	22	189.8	528.4	516	２５〜２９歳	30	315.88	1985	1.186002853495532
C 鉱業，採石業，砂利採取業	239.6	32.6	6.9	186	22	209.2	575.2	651	３０〜３４歳	35	345.04	1985	1.295486971540137
C 鉱業，採石業，砂利採取業	251.9	37.3	9.1	186	21	221.5	635.4	888	３５〜３９歳	40	365.82	1985	1.3735075467447624
C 鉱業，採石業，砂利採取業	264.9	42.6	12.1	185	20	233.7	682.9	880	４０〜４４歳	45	386.17	1985	1.4499136442141625
C 鉱業，採石業，砂利採取業	278.5	47.5	15.1	184	21	243.6	757.1	1086	４５〜４９歳	50	409.91	1985	1.5390478335961555
C 鉱業，採石業，砂利採取業	281	52.5	19.5	181	22	244.1	807.4	1283	５０〜５４歳	55	417.94	1985	1.5691972666516485
C 鉱業，採石業，砂利採取業	235.2	57.2	15.1	185	16	214.7	592	489	５５〜５９歳	60	341.44	1985	1.2819704137568522
C 鉱業，採石業，砂利採取業	206.5	61.9	11.2	192	10	195.1	389.1	146	６０〜６４歳	65	286.71	1985	1.076481189457085
C 鉱業，採石業，砂利採取業	196.3	22.8	2.9	180	19	172	436.3	378	２０〜２４歳	25	279.19	1986	1
C 鉱業，採石業，砂利採取業	219.7	27.5	4.5	184	22	190.2	493.5	515	２５〜２９歳	30	312.99	1986	1.121064508041119
C 鉱業，採石業，砂利採取業	249.5	32.6	7	186	23	216.2	579.5	626	３０〜３４歳	35	357.35	1986	1.2799527203696408
C 鉱業，採石業，砂利採取業	260.2	37.5	9.4	188	23	227.1	643.9	945	３５〜３９歳	40	376.63	1986	1.3490096350155807
C 鉱業，採石業，砂利採取業	269.2	42.8	12	186	21	237.6	702.4	817	４０〜４４歳	45	393.28	1986	1.4086464414914572
