year	city	city_code	pop_total	pop_myanmar	pop_china	pop_india	pop_indonesia	pop_korea	pop_philippine	pop_thai	pop_vietnam	pop_france	pop_germany	pop_italy	pop_uk	pop_canada	pop_us	pop_brazil	pop_australia	pop_etc
2014	東京都全体	13000	394410	4998	162809	7902	2587	96215	28075	6885	9427	4642	2153	1269	5250	2643	15590	2939	2742	38284
2014	区部	13100	330586	4758	138642	7279	1906	81208	21114	5654	7923	4353	1910	1106	4620	2239	12855	1954	2432	30633
2014	千代田区	13101	2457	7	1084	93	8	370	47	32	24	153	50	9	72	27	172	12	39	258
2014	中央区	13102	4916	25	2136	234	14	1095	113	52	63	80	52	20	95	53	267	13	61	543
2014	港区	13103	18104	25	3492	627	104	3662	889	179	63	680	309	157	800	358	3342	268	542	2607
2014	新宿区	13104	34121	1086	12713	207	104	11377	654	675	1539	759	142	89	346	202	959	126	145	2998
2014	文京区	13105	7087	117	2912	88	68	1887	193	198	209	149	48	27	94	48	278	23	52	696
2014	台東区	13106	12802	65	6083	611	32	3543	632	258	278	83	32	23	69	41	171	24	44	813
2014	墨田区	13107	9309	67	4493	76	21	1970	1250	341	86	31	21	15	51	36	119	36	24	672
2014	江東区	13108	21234	206	10840	1187	92	4593	1369	345	229	99	32	37	106	99	337	90	86	1487
2014	品川区	13109	10446	181	3844	393	110	2310	679	164	208	138	83	48	179	99	543	84	85	1298
2014	目黒区	13110	6982	40	1613	132	166	1464	511	126	72	239	153	79	307	118	718	44	165	1035
2014	大田区	13111	18545	110	7513	247	177	3671	2120	403	586	91	187	54	157	84	531	229	79	2306
2014	世田谷区	13112	14845	71	4007	365	109	4019	727	194	281	344	309	113	585	243	1283	91	251	1853
2014	渋谷区	13113	8880	34	1855	171	53	1574	279	188	98	519	141	134	660	197	1270	99	326	1282
2014	中野区	13114	10949	182	4342	82	56	2880	412	197	491	145	60	46	163	86	375	61	91	1280
2014	杉並区	13115	10709	141	3822	113	87	2672	442	193	415	160	68	66	236	127	557	80	104	1426
2014	豊島区	13116	19533	997	11584	124	87	2649	400	271	639	195	41	28	117	76	388	47	77	1813
2014	北区	13117	14558	611	7836	116	49	2762	767	145	433	81	30	15	69	42	178	79	37	1308
2014	荒川区	13118	15559	310	6846	79	45	6019	506	151	351	36	17	27	49	27	132	25	20	919
2014	板橋区	13119	16714	181	9355	68	89	3112	1255	251	436	143	28	29	109	48	249	105	35	1221
2014	練馬区	13120	12858	45	5161	129	85	3892	870	256	299	94	46	50	132	93	415	101	81	1109
2014	足立区	13121	22516	61	8754	109	124	7791	3253	387	253	53	19	10	87	42	217	156	30	1170
2014	葛飾区	13122	13966	105	6978	69	63	3430	1372	227	253	34	21	9	51	33	128	53	21	1119
2014	江戸川区	13123	23496	91	11379	1959	163	4466	2374	421	617	47	21	21	86	60	226	108	37	1420
2014	市部	13200	62957	237	24045	623	664	14833	6693	1210	1481	288	240	162	629	399	2679	942	309	7523
2014	八王子市	13201	9020	27	3731	84	57	1974	1045	126	214	17	30	31	47	33	236	175	33	1160
2014	立川市	13202	3197	7	1497	59	15	792	295	38	25	5	7	2	17	10	111	85	14	218
2014	武蔵野市	13203	2277	14	843	23	12	525	80	29	32	32	12	14	62	35	283	8	23	250
2014	三鷹市	13204	2794	28	921	9	26	707	158	53	52	34	26	20	74	57	272	17	40	300
2014	青梅市	13205	1421	2	398	9	13	224	337	58	50	-	8	-	5	8	55	48	2	204
2014	府中市	13206	4110	31	1580	48	78	826	457	81	88	20	11	22	34	31	226	72	23	482
2014	昭島市	13207	2048	4	790	19	14	571	209	32	39	2	3	1	5	3	49	52	4	251
2014	調布市	13208	3534	16	1267	61	48	1069	288	84	80	20	19	11	39	38	136	23	16	319
2014	町田市	13209	4780	14	1932	72	70	1078	514	100	74	25	26	7	63	38	185	50	17	515
2014	小金井市	13210	1999	15	918	15	39	285	103	47	44	10	12	3	39	17	106	21	12	313
2014	小平市	13211	3961	10	1292	17	37	1615	247	58	101	17	23	4	28	10	98	48	15	341
2014	日野市	13212	2449	16	1102	10	45	513	214	50	120	10	6	2	24	1	57	12	15	252
2014	東村山市	13213	2088	12	786	9	33	570	257	28	33	6	9	3	16	7	41	4	6	268
2014	国分寺市	13214	1675	6	745	4	8	416	105	16	49	16	7	5	26	13	70	19	13	157
2014	国立市	13215	1271	1	494	34	10	347	69	22	24	5	11	8	13	10	52	4	7	160
2014	福生市	13218	2533	1	686	26	5	269	331	110	203	2	1	9	4	3	118	46	4	715
2014	狛江市	13219	975	2	373	12	8	205	92	38	10	12	4	5	19	11	55	3	9	117
2014	東大和市	13220	1046	2	376	2	8	314	238	23	8	-	1	1	10	1	16	12	2	32
2014	清瀬市	13221	993	3	386	1	10	178	171	19	25	5	1	-	5	6	29	8	3	143
2014	東久留米市	13222	1634	3	532	30	19	310	245	37	16	3	6	1	27	36	192	13	17	147
2014	武蔵村山市	13223	1100	-	416	1	13	184	276	21	45	2	1	-	1	3	28	41	-	68
2014	多摩市	13224	2022	9	852	16	19	515	238	31	30	16	9	6	13	7	58	11	14	178
2014	稲城市	13225	1082	-	391	12	9	292	154	22	13	3	2	2	8	7	28	21	11	107
2014	羽村市	13227	1195	1	192	9	11	103	217	13	35	-	-	-	9	2	41	110	-	452
2014	あきる野市	13228	626	-	166	8	12	141	100	14	18	1	-	-	3	2	42	17	1	101
2014	西東京市	13229	3127	13	1379	33	45	810	253	60	53	25	5	5	38	10	95	22	8	273
2014	町村部		867	3	122	-	17	174	268	21	23	1	3	1	1	5	56	43	1	128
2014	西多摩郡	13300	640	3	108	-	-	91	200	13	21	1	3	1	1	-	39	42	-	117
2014	瑞穂町	13303	527	3	84	-	-	63	177	11	21	1	-	1	-	-	22	38	-	106
2014	日の出町	13305	77	-	19	-	-	17	17	1	-	-	1	-	-	-	10	3	-	9
2014	檜原村	13307	13	-	-	-	-	7	2	-	-	-	-	-	-	-	4	-	-	-
2014	奥多摩町	13308	23	-	5	-	-	4	4	1	-	-	2	-	1	-	3	1	-	2
2014	島部		227	-	14	-	17	83	68	8	2	-	-	-	-	5	17	1	1	11
2014	大島支庁	13361	58	-	7	-	16	11	4	6	-	-	-	-	-	2	3	-	1	8
2014	三宅支庁	13381	43	-	1	-	-	16	18	-	2	-	-	-	-	1	5	-	-	-
2014	八丈支庁	13401	105	-	4	-	-	49	45	2	-	-	-	-	-	2	3	-	-	-
2014	小笠原支庁	13421	21	-	2	-	1	7	1	-	-	-	-	-	-	-	6	1	-	3
2013	東京都全体	13000	390674	4781	161169	8313	2486	99880	27929	6906	4669	4635	2147	1192	5522	2772	15901	3102	2811	36459
2013	区部	13100	327266	4542	137297	7654	1812	84335	21122	5674	3650	4335	1898	1044	4858	2350	13190	2056	2499	28950
2013	千代田区	13101	2550	7	1085	119	12	400	54	31	37	182	47	7	66	23	178	15	35	252
2013	中央区	13102	4947	25	2101	253	17	1068	112	61	41	88	37	22	102	67	286	14	70	583
2013	港区	13103	18853	39	3403	706	127	3712	927	175	52	670	324	175	892	368	3619	298	609	2757
2013	新宿区	13104	33574	1035	12775	229	85	12255	657	676	418	848	143	80	384	197	834	138	148	2672
2013	文京区	13105	6935	110	2823	96	50	1990	188	183	119	159	45	22	93	51	307	25	41	633
2013	台東区	13106	12503	58	5956	619	29	3644	634	251	95	88	24	25	70	43	165	28	44	730
2013	墨田区	13107	9213	66	4425	66	25	2006	1260	368	51	29	22	11	42	29	111	34	16	652
2013	江東区	13108	20889	176	10602	1135	78	4714	1393	328	109	95	30	28	111	111	372	84	100	1423
2013	品川区	13109	10566	193	3780	504	116	2372	721	164	174	132	88	40	193	117	552	76	84	1260
2013	目黒区	13110	6949	50	1617	118	158	1454	517	135	48	225	131	76	318	131	735	43	164	1029
2013	大田区	13111	18200	113	7373	305	176	3734	2101	395	495	83	191	48	179	80	502	255	79	2091
2013	世田谷区	13112	14827	68	3936	379	111	4086	731	185	197	337	315	110	628	258	1290	104	235	1857
2013	渋谷区	13113	9445	30	1987	172	61	1705	291	220	81	462	161	138	728	197	1464	87	350	1311
2013	中野区	13114	10610	191	4301	91	50	3070	404	200	142	159	73	39	153	89	369	58	91	1130
2013	杉並区	13115	10489	142	3801	124	74	2803	447	195	207	159	63	69	230	125	558	82	102	1308
2013	豊島区	13116	19065	926	11677	128	92	2787	412	257	261	198	38	23	118	83	377	50	79	1559
2013	北区	13117	14248	592	7930	127	56	2820	763	148	150	71	18	22	61	37	159	84	29	1181
2013	荒川区	13118	15313	279	6854	83	35	6271	510	131	134	29	12	19	43	31	110	25	24	723
2013	板橋区	13119	16234	160	9158	67	69	3240	1282	259	185	101	29	25	99	64	238	110	37	1111
2013	練馬区	13120	12740	53	5144	139	80	3951	858	267	127	89	46	39	132	103	412	102	72	1126
2013	足立区	13121	22282	56	8486	109	111	7969	3221	378	163	47	20	12	79	50	210	169	29	1173
2013	葛飾区	13122	13719	98	6859	65	59	3553	1314	228	144	37	21	3	54	35	121	55	24	1049
2013	江戸川区	13123	23115	75	11224	2020	141	4731	2325	439	220	47	20	11	83	61	221	120	37	1340
2013	市部	13200	62590	238	23751	659	656	15380	6549	1209	1005	300	247	147	662	418	2655	1011	310	7393
2013	八王子市	13201	8983	33	3768	96	63	2030	1028	128	121	21	34	30	54	37	245	168	33	1094
2013	立川市	13202	3294	7	1487	65	16	846	300	36	20	5	7	3	19	10	116	117	11	229
2013	武蔵野市	13203	2180	12	799	19	16	542	76	35	28	37	13	11	63	38	208	10	33	240
2013	三鷹市	13204	2844	23	915	10	23	736	169	61	38	43	22	13	84	64	292	21	34	296
2013	青梅市	13205	1445	1	405	10	16	238	335	58	42	-	11	-	5	7	54	53	2	208
2013	府中市	13206	4106	36	1520	53	74	894	445	85	61	16	11	14	39	30	232	67	30	499
2013	昭島市	13207	2010	4	786	18	13	594	197	28	20	2	3	-	5	2	45	55	4	234
2013	調布市	13208	3550	15	1276	59	46	1114	275	93	71	17	22	11	37	38	147	20	9	300
2013	町田市	13209	4747	15	1950	65	72	1101	463	109	65	21	25	5	67	38	172	38	15	526
2013	小金井市	13210	2096	14	935	20	42	325	110	40	35	15	12	5	41	21	114	20	10	337
2013	小平市	13211	3906	11	1168	15	45	1689	237	59	100	17	24	7	32	13	92	58	15	324
2013	日野市	13212	2407	16	1138	16	41	524	203	42	46	11	3	2	26	4	62	14	7	252
2013	東村山市	13213	2093	7	774	8	45	582	253	29	20	4	7	3	15	7	47	9	7	276
2013	国分寺市	13214	1635	2	749	7	9	413	102	13	22	8	8	4	23	16	84	19	12	144
2013	国立市	13215	1286	2	460	29	9	372	74	23	19	5	14	5	13	10	44	4	9	194
2013	福生市	13218	2400	3	699	30	4	281	329	110	111	2	1	8	4	3	115	55	4	641
2013	狛江市	13219	909	1	323	11	12	231	90	31	12	10	3	5	21	6	45	4	5	99
2013	東大和市	13220	1011	2	348	2	7	313	229	25	5	1	2	1	7	2	15	13	7	32
2013	清瀬市	13221	967	3	402	1	8	192	150	21	13	4	1	1	2	6	25	6	2	130
2013	東久留米市	13222	1592	3	515	28	19	284	239	32	13	3	10	6	25	33	206	14	20	142
2013	武蔵村山市	13223	1071	-	388	1	10	169	273	24	46	2	-	-	2	1	32	54	1	68
2013	多摩市	13224	2038	10	862	17	17	521	230	28	20	22	7	6	15	10	58	18	14	183
2013	稲城市	13225	1082	1	372	15	8	296	166	21	10	3	3	2	9	7	30	19	13	107
2013	羽村市	13227	1277	1	199	14	11	110	231	8	29	-	-	-	9	2	46	121	1	495
2013	あきる野市	13228	640	-	176	9	13	153	100	11	15	1	-	-	3	2	43	13	1	100
2013	西東京市	13229	3021	16	1337	41	17	830	245	59	23	30	4	5	42	11	86	21	11	243
2013	町村部		818	1	121	-	18	165	258	23	14	-	2	1	2	4	56	35	2	116
2013	西多摩郡	13300	599	1	105	-	1	83	192	15	14	-	2	1	2	-	41	35	-	107
2013	瑞穂町	13303	490	1	82	-	1	59	169	14	14	-	-	1	1	-	20	31	-	97
2013	日の出町	13305	77	-	18	-	-	16	17	-	-	-	-	-	-	-	14	3	-	9
2013	檜原村	13307	11	-	-	-	-	5	2	-	-	-	-	-	-	-	4	-	-	-
2013	奥多摩町	13308	21	-	5	-	-	3	4	1	-	-	2	-	1	-	3	1	-	1
2013	島部		219	-	16	-	17	82	66	8	-	-	-	-	-	4	15	-	2	9
2013	大島支庁	13361	58	-	7	-	16	11	4	6	-	-	-	-	-	2	3	-	1	8
2013	三宅支庁	13381	35	-	2	-	-	17	15	-	-	-	-	-	-	-	1	-	-	-
2013	八丈支庁	13401	108	-	5	-	-	50	46	2	-	-	-	-	-	2	3	-	-	-
2013	小笠原支庁	13421	18	-	2	-	1	4	1	-	-	-	-	-	-	-	8	-	1	1
2012	東京都全体	13000	406096	5238	164199	8750	2621	105522	29540	7177	3775	4945	2315	1252	6064	3040	17342	3501	3126	37689
2012	区部	13100	339448	4979	139328	8035	1949	89079	22311	5810	2881	4649	2076	1106	5383	2588	14377	2238	2787	29872
2012	千代田区	13101	2637	15	982	120	5	443	50	37	58	216	46	12	80	32	206	17	38	280
2012	中央区	13102	4977	31	2079	277	22	1078	117	65	12	78	49	24	102	66	316	16	77	568
2012	港区	13103	20620	55	3393	810	126	3821	1008	189	51	777	373	211	1113	416	4196	354	699	3028
2012	新宿区	13104	33568	1153	12473	249	113	12567	716	642	222	906	138	98	366	237	843	159	165	2521
2012	文京区	13105	7352	109	2990	95	60	2133	206	156	106	189	53	22	93	62	331	25	53	669
2012	台東区	13106	12662	65	5768	612	29	3936	689	246	65	85	23	23	78	49	166	33	51	744
2012	墨田区	13107	9558	77	4496	67	29	2123	1312	374	44	41	17	13	59	36	115	35	22	698
2012	江東区	13108	21157	160	10525	1088	111	5061	1467	344	112	94	33	19	116	109	372	89	94	1363
2012	品川区	13109	11274	200	4111	592	104	2492	712	164	181	146	100	37	224	127	589	76	98	1321
2012	目黒区	13110	7369	53	1602	178	176	1533	584	133	38	226	129	81	354	150	759	52	199	1122
2012	大田区	13111	18165	109	7338	281	174	3866	2132	404	494	77	205	42	158	87	531	240	84	1943
2012	世田谷区	13112	15686	87	3998	426	131	4186	796	216	147	377	401	121	622	307	1407	116	250	2098
