year	age	age_label	total_title	general_manager	manager	chief_clerk	non_title	title_ratio	general_manager_ratio	manager_ratio	chief_clerk_ratio	pop_worker	employed	unemployed	all_worker	employee	regular_employee	non_regular_employee	regular_employee_ratio	non_regular_employee_ratio
2013	15	〜19歳	1			0	4061	0.024618415	0	0	0	15.6	14.9	6.5	239	238	114	125	47.7	52.3
2013	20	20〜24歳	194		11	37	42707	0.452203911	0	5.670103093	19.07216495	70.3	66	6.1						
2013	25	25〜29歳	1638	2	51	522	58959	2.703104114	0.122100122	3.113553114	31.86813187	79	74.9	5.2	486	483	283	200	58.6	41.4
2013	30	30〜34歳	3193	10	270	1252	45806	6.51645952	0.313185092	8.455997495	39.21077357	70.1	67.2	4.2						
2013	35	35〜39歳	5384	53	731	2388	45312	10.62016727	0.984398217	13.57726597	44.35364042	69.6	66.9	3.8	594	582	263	319	45.2	54.8
2013	40	40〜44歳	6501	119	1377	2618	43229	13.072592	1.830487617	21.18135671	40.27072758	73.1	70.2	4						
2013	45	45〜49歳	7160	400	2109	2246	34335	17.25509097	5.586592179	29.45530726	31.36871508	76.1	73.7	3.2	538	520	212	308	40.8	59.2
2013	50	50〜54歳	6246	686	1883	1763	28337	18.06089697	10.98302914	30.14729427	28.22606468	74.9	72.8	3.1						
2013	55	55〜59歳	4832	570	1140	1481	22566	17.63632382	11.79635762	23.59271523	30.64983444	66.5	64.7	2.7	407	381	124	257	32.5	67.5
2013	60	60〜64歳	622	131	115	103	8786	6.611394558	21.06109325	18.48874598	16.55948553	47.4	46	3						
2013	65	65〜69歳	141	25	29	21	2379	5.595238095	17.73049645	20.56737589	14.89361702	29.8	29.3	1.5	142	118	31	87	26.3	73.7
2013	70	70歳〜	67	26	29		624	9.696092619	38.80597015	43.28358209	0	8.6	8.5	0.9						
2012	15	〜19歳	4				4110	0.097228974	0	0	0	14.6	13.6	7	232	231	114	117	49.4	50.6
2012	20	20〜24歳	360		4	27	44949	0.79454413	0	1.111111111	7.5	68.7	63.5	7.1						
2012	25	25〜29歳	1659		61	262	67232	2.408152008	0	3.676913803	15.79264617	77.6	73.3	5.6	492	489	289	200	59.1	40.9
2012	30	30〜34歳	3074	6	285	1012	52908	5.491050695	0.195185426	9.271307742	32.92127521	68.6	65.6	4.5						
2012	35	35〜39歳	5430	51	684	2273	47282	10.30125968	0.939226519	12.59668508	41.86003683	67.7	64.7	4.4	583	571	264	307	46.2	53.8
2012	40	40〜44歳	7055	232	1787	2813	45658	13.38379527	3.288447909	25.32955351	39.8724309	71.7	68.7	4.5						
2012	45	45〜49歳	7039	561	2100	2457	33612	17.31568719	7.969882086	29.83378321	34.90552635	75.7	73	3.6	523	502	209	293	41.6	58.4
2012	50	50〜54歳	6283	845	1498	1810	28962	17.82664208	13.44898934	23.84211364	28.80789432	73.4	71	3.2						
2012	55	55〜59歳	3945	458	922	1059	23556	14.34493291	11.60963245	23.37135615	26.84410646	64.6	62.6	2.7	410	383	132	250	34.6	65.4
2012	60	60〜64歳	805	193	284	51	8548	8.606864108	23.97515528	35.27950311	6.335403727	45.8	44.5	3.3						
2012	65	65〜69歳	67	8	27	6	2136	3.041307308	11.94029851	40.29850746	8.955223881	28.3	27.8	1.7	135	112	32	80	28.6	71.4
2012	70	70歳〜	50	9		17	658	7.062146893	18	0	34	8.7	8.6	0.9						
2011	15	〜19歳	12				3664	0.326441785	0	0	0				240	239	122	119	50.6	49.4
2011	20	20〜24歳	157		1	13	42603	0.367165575	0	0.636942675	8.280254777									
2011	25	25〜29歳	985	10	26	299	55967	1.729526619	1.015228426	2.639593909	30.35532995				501	496	293	203	59	41
2011	30	30〜34歳	2908	48	343	1329	43852	6.21899059	1.650618982	11.79504814	45.70151307									
2011	35	35〜39歳	4693	108	755	2184	40886	10.29640843	2.301299808	16.08779033	46.53739612				575	563	256	307	45.4	54.6
2011	40	40〜44歳	5658	228	1227	2504	35000	13.91608048	4.029692471	21.68610817	44.25592082									
2011	45	45〜49歳	5227	200	1532	1969	28958	15.29033202	3.826286589	29.30935527	37.66979147				512	492	208	285	42.2	57.8
2011	50	50〜54歳	4725	536	1431	1396	24910	15.94398515	11.34391534	30.28571429	29.54497354									
2011	55	55〜59歳	3262	435	947	830	20774	13.5713097	13.33537707	29.03126916	25.44451257				419	388	131	255	34	66
2011	60	60〜64歳	725	210	192	47	6817	9.612834792	28.96551724	26.48275862	6.482758621									
2011	65	65〜69歳	37	19	3	3	1332	2.702702703	51.35135135	8.108108108	8.108108108				124	101	29	71	29.3	70.7
2011	70	70歳〜	16	12			454	3.404255319	75	0	0									
2010	15	〜19歳	5				4168	0.119817877	0	0	0	15.9	14.6	8.5	246	245	125	122	50.4	49.6
2010	20	20〜24歳	239		18	21	43258	0.549463181	0	7.531380753	8.786610879	69.4	63.6	7.9						
2010	25	25〜29歳	1140	7	67	391	56033	1.993948192	0.614035088	5.877192982	34.29824561	77.1	72.7	6.1	511	507	298	210	58.6	41.4
2010	30	30〜34歳	2844	20	380	1224	42190	6.315228494	0.70323488	13.36146273	43.03797468	67.8	64.1	5.4						
2010	35	35〜39歳	4124	117	546	1920	40276	9.288288288	2.837051406	13.23957323	46.55674103	66.2	62.6	5.4	560	547	253	294	46.3	53.7
