countries	Corporate	Indirect	year	namae
Australia	30	10	2006	オーストラリア
Austria	25	20	2006	オーストリア
Belgium	33.99	21	2006	ベルギー
Brazil	34	19	2006	ブラジル
Canada	36.1	7	2006	カナダ
Chile	17	19	2006	チリ
China	33	17	2006	中国
Czech Republic	24	19	2006	チェコ
Denmark	28	25	2006	デンマーク
Estonia	23	18	2006	エストニア
Finland	26	22	2006	フィンランド
France	33.33	19.6	2006	フランス
Germany	38.34	16	2006	ドイツ
Greece	29	19	2006	ギリシャ
Hong Kong SAR	17.5		2006	香港
Hungary	16	20	2006	ハンガリー
Iceland	18	24.5	2006	アイスランド
India	33.66	12.5	2006	インド
Indonesia	30	10	2006	インドネシア
Ireland	12.5	21	2006	アイルランド
Israel	31	16.5	2006	イスラエル
Italy	37.25	20	2006	イタリア
Japan	40.69	5	2006	日本
Korea, Republic of	27.5	10	2006	韓国
Luxembourg	29.63	15	2006	ルクセンブルグ
Malaysia	28	10	2006	マレーシア
Mexico	29	15	2006	メキシコ
Netherlands	29.6	19	2006	オランダ
New Zealand	33	12.5	2006	ニュージーランド
Norway	28	25	2006	ノルウェー
Philippines	35	10	2006	フィリピン
Poland	19	22	2006	ポーランド
Portugal	27.5	21	2006	ポルトガル
Russian Federation	24	18	2006	ロシア
Singapore	20	5	2006	シンガポール
Slovakia	19	19	2006	スロバキア
Slovenia	25	20	2006	スロベニア
Spain	35	16	2006	スペイン
Sweden	28	25	2006	スウェーデン
Switzerland	21.3	7.6	2006	スイス
Taiwan, Province of China	25	5	2006	台湾
Thailand	30	7	2006	タイ
Turkey	20	18	2006	トルコ
United Kingdom	30	17.5	2006	英国
United States	40	7.25	2006	米国
Viet Nam	28	10	2006	ベトナム
Australia	30	10	2007	オーストラリア
Austria	25	20	2007	オーストリア
Belgium	33.99	21	2007	ベルギー
Brazil	34	19	2007	ブラジル
Canada	36.1	6	2007	カナダ
Chile	17	19	2007	チリ
China	33	17	2007	中国
Czech Republic	24	19	2007	チェコ
Denmark	25	25	2007	デンマーク
Estonia	22	18	2007	エストニア
Finland	26	22	2007	フィンランド
France	33.33	19.6	2007	フランス
Germany	38.36	19	2007	ドイツ
Greece	25	19	2007	ギリシャ
Hong Kong SAR	17.5		2007	香港
Hungary	16	20	2007	ハンガリー
Iceland	18	24.5	2007	アイスランド
India	33.99	12.5	2007	インド
Indonesia	30	10	2007	インドネシア
Ireland	12.5	21	2007	アイルランド
Israel	29	15.5	2007	イスラエル
Italy	37.25	20	2007	イタリア
Japan	40.69	5	2007	日本
Korea, Republic of	27.5	10	2007	韓国
Luxembourg	29.63	15	2007	ルクセンブルグ
Malaysia	27	10	2007	マレーシア
Mexico	28	15	2007	メキシコ
Netherlands	25.5	19	2007	オランダ
New Zealand	33	12.5	2007	ニュージーランド
Norway	28	25	2007	ノルウェー
Philippines	35	12	2007	フィリピン
Poland	19	22	2007	ポーランド
Portugal	25	21	2007	ポルトガル
Russian Federation	24	18	2007	ロシア
Singapore	20	5	2007	シンガポール
Slovakia	19	19	2007	スロバキア
Slovenia	23	20	2007	スロベニア
Spain	32.5	16	2007	スペイン
Sweden	28	25	2007	スウェーデン
Switzerland	20.63	7.6	2007	スイス
Taiwan, Province of China	25	5	2007	台湾
Thailand	30	7	2007	タイ
Turkey	20	18	2007	トルコ
United Kingdom	30	17.5	2007	英国
United States	40	7.25	2007	米国
Viet Nam	28	10	2007	ベトナム
Australia	30	10	2008	オーストラリア
Austria	25	20	2008	オーストリア
Belgium	33.99	21	2008	ベルギー
Brazil	34	19	2008	ブラジル
Canada	33.5	5	2008	カナダ
Chile	17	19	2008	チリ
China	25	17	2008	中国
Czech Republic	21	19	2008	チェコ
Denmark	25	25	2008	デンマーク
Estonia	21	18	2008	エストニア
Finland	26	22	2008	フィンランド
France	33.33	19.6	2008	フランス
Germany	29.51	19	2008	ドイツ
Greece	25	19	2008	ギリシャ
Hong Kong SAR	16.5		2008	香港
Hungary	16	20	2008	ハンガリー
Iceland	15	24.5	2008	アイスランド
India	33.99	12.5	2008	インド
Indonesia	30	10	2008	インドネシア
Ireland	12.5	21	2008	アイルランド
Israel	27	15.5	2008	イスラエル
Italy	31.4	20	2008	イタリア
Japan	40.69	5	2008	日本
Korea, Republic of	27.5	10	2008	韓国
Luxembourg	29.63	15	2008	ルクセンブルグ
Malaysia	26	10	2008	マレーシア
Mexico	28	15	2008	メキシコ
Netherlands	25.5	19	2008	オランダ
New Zealand	30	12.5	2008	ニュージーランド
Norway	28	25	2008	ノルウェー
Philippines	35	12	2008	フィリピン
Poland	19	22	2008	ポーランド
Portugal	25	21	2008	ポルトガル
Russian Federation	24	18	2008	ロシア
Singapore	18	7	2008	シンガポール
Slovakia	19	19	2008	スロバキア
Slovenia	22	20	2008	スロベニア
Spain	30	16	2008	スペイン
Sweden	28	25	2008	スウェーデン
Switzerland	19.2	7.6	2008	スイス
Taiwan, Province of China	25	5	2008	台湾
Thailand	30	7	2008	タイ
Turkey	20	18	2008	トルコ
United Kingdom	30	17.5	2008	英国
United States	40	7.25	2008	米国
Viet Nam	28	10	2008	ベトナム
Australia	30	10	2009	オーストラリア
Austria	25	20	2009	オーストリア
Belgium	33.99	21	2009	ベルギー
Brazil	34	19	2009	ブラジル
Canada	33	5	2009	カナダ
Chile	17	19	2009	チリ
China	25	17	2009	中国
Czech Republic	20	19	2009	チェコ
Denmark	25	25	2009	デンマーク
Estonia	21	18	2009	エストニア
Finland	26	22	2009	フィンランド
France	33.33	19.6	2009	フランス
Germany	29.44	19	2009	ドイツ
Greece	25	19	2009	ギリシャ
Hong Kong SAR	16.5		2009	香港
Hungary	16	20	2009	ハンガリー
Iceland	15	24.5	2009	アイスランド
India	33.99	12.5	2009	インド
Indonesia	28	10	2009	インドネシア
Ireland	12.5	21.5	2009	アイルランド
Israel	26	15.5	2009	イスラエル
Italy	31.4	20	2009	イタリア
Japan	40.69	5	2009	日本
Korea, Republic of	24.2	10	2009	韓国
Luxembourg	28.59	15	2009	ルクセンブルグ
Malaysia	25	10	2009	マレーシア
Mexico	28	15	2009	メキシコ
Netherlands	25.5	19	2009	オランダ
New Zealand	30	12.5	2009	ニュージーランド
Norway	28	25	2009	ノルウェー
Philippines	30	12	2009	フィリピン
Poland	19	22	2009	ポーランド
Portugal	25	20	2009	ポルトガル
Russian Federation	20	18	2009	ロシア
Singapore	18	7	2009	シンガポール
Slovakia	19	19	2009	スロバキア
Slovenia	21	20	2009	スロベニア
Spain	30	16	2009	スペイン
Sweden	26.3	25	2009	スウェーデン
Switzerland	18.96	7.6	2009	スイス
Taiwan, Province of China	25	5	2009	台湾
Thailand	30	7	2009	タイ
Turkey	20	18	2009	トルコ
United Kingdom	28	15	2009	英国
United States	40	8.25	2009	米国
Viet Nam	25	10	2009	ベトナム
Australia	30	10	2010	オーストラリア
Austria	25	20	2010	オーストリア
Belgium	33.99	21	2010	ベルギー
Brazil	34	19	2010	ブラジル
Canada	31	5	2010	カナダ
Chile	17	19	2010	チリ
China	25	17	2010	中国
Czech Republic	19	20	2010	チェコ
Denmark	25	25	2010	デンマーク
Estonia	21	20	2010	エストニア
Finland	26	23	2010	フィンランド
France	33.33	19.6	2010	フランス
Germany	29.41	19	2010	ドイツ
Greece	24	23	2010	ギリシャ
Hong Kong SAR	16.5		2010	香港
Hungary	19	25	2010	ハンガリー
Iceland	18	25.5	2010	アイスランド
India	33.99	12.5	2010	インド
Indonesia	25	10	2010	インドネシア
Ireland	12.5	21	2010	アイルランド
Israel	25	16	2010	イスラエル
Italy	31.4	20	2010	イタリア
Japan	40.69	5	2010	日本
Korea, Republic of	24.2	10	2010	韓国
Luxembourg	28.59	15	2010	ルクセンブルグ
Malaysia	25	10	2010	マレーシア
Mexico	30	16	2010	メキシコ
Netherlands	25.5	19	2010	オランダ
New Zealand	30	12.5	2010	ニュージーランド
Norway	28	25	2010	ノルウェー
Philippines	30	12	2010	フィリピン
Poland	19	22	2010	ポーランド
Portugal	25	21	2010	ポルトガル
Russian Federation	20	18	2010	ロシア
Singapore	17	7	2010	シンガポール
Slovakia	19	19	2010	スロバキア
Slovenia	20	20	2010	スロベニア
Spain	30	18	2010	スペイン
Sweden	26.3	25	2010	スウェーデン
Switzerland	18.75	7.6	2010	スイス
Taiwan, Province of China	17	5	2010	台湾
Thailand	30	7	2010	タイ
Turkey	20	18	2010	トルコ
United Kingdom	28	17.5	2010	英国
United States	40	8.25	2010	米国
Viet Nam	25	10	2010	ベトナム
Australia	30	10	2011	オーストラリア
Austria	25	20	2011	オーストリア
Belgium	33.99	21	2011	ベルギー
Brazil	34	19	2011	ブラジル
Canada	28	5	2011	カナダ
Chile	20	19	2011	チリ
China	25	17	2011	中国
Czech Republic	19	20	2011	チェコ
Denmark	25	25	2011	デンマーク
Estonia	21	20	2011	エストニア
Finland	26	23	2011	フィンランド
France	33.33	19.6	2011	フランス
Germany	29.37	19	2011	ドイツ
Greece	20	23	2011	ギリシャ
Hong Kong SAR	16.5		2011	香港
Hungary	19	25	2011	ハンガリー
Iceland	20	25.5	2011	アイスランド
India	32.44	12.5	2011	インド
Indonesia	25	10	2011	インドネシア
Ireland	12.5	21	2011	アイルランド
Israel	24	16	2011	イスラエル
Italy	31.4	21	2011	イタリア
Japan	40.69	5	2011	日本
Korea, Republic of	22	10	2011	韓国
Luxembourg	28.8	15	2011	ルクセンブルグ
Malaysia	25	10	2011	マレーシア
Mexico	30	16	2011	メキシコ
Netherlands	25	19	2011	オランダ
New Zealand	28	15	2011	ニュージーランド
Norway	28	25	2011	ノルウェー
Philippines	30	12	2011	フィリピン
Poland	19	23	2011	ポーランド
Portugal	25	23	2011	ポルトガル
Russian Federation	20	18	2011	ロシア
Singapore	17	7	2011	シンガポール
Slovakia	19	20	2011	スロバキア
Slovenia	20	20	2011	スロベニア
Spain	30	18	2011	スペイン
Sweden	26.3	25	2011	スウェーデン
Switzerland	18.31	8	2011	スイス
Taiwan, Province of China	17	5	2011	台湾
Thailand	30	7	2011	タイ
Turkey	20	18	2011	トルコ
United Kingdom	26	20	2011	英国
United States	40	7.25	2011	米国
Viet Nam	25	10	2011	ベトナム
Australia	30	10	2012	オーストラリア
Austria	25	20	2012	オーストリア
Belgium	33.99	21	2012	ベルギー
Brazil	34	19	2012	ブラジル
Canada	26	5	2012	カナダ
Chile	18.5	19	2012	チリ
China	25	17	2012	中国
Czech Republic	19	20	2012	チェコ
Denmark	25	25	2012	デンマーク
Estonia	21	20	2012	エストニア
Finland	24.5	23	2012	フィンランド
France	33.33	19.6	2012	フランス
Germany	29.48	19	2012	ドイツ
Greece	20	23	2012	ギリシャ
Hong Kong SAR	16.5		2012	香港
Hungary	19	27	2012	ハンガリー
Iceland	20	25.5	2012	アイスランド
India	32.45	12.5	2012	インド
Indonesia	25	10	2012	インドネシア
Ireland	12.5	23	2012	アイルランド
Israel	25	17	2012	イスラエル
Italy	31.4	21	2012	イタリア
Japan	38.01	5	2012	日本
Korea, Republic of	24.2	10	2012	韓国
Luxembourg	28.8	15	2012	ルクセンブルグ
Malaysia	25	10	2012	マレーシア
Mexico	30	16	2012	メキシコ
Netherlands	25	21	2012	オランダ
New Zealand	28	15	2012	ニュージーランド
Norway	28	25	2012	ノルウェー
Philippines	30	12	2012	フィリピン
Poland	19	23	2012	ポーランド
Portugal	25	23	2012	ポルトガル
Russian Federation	20	18	2012	ロシア
Singapore	17	7	2012	シンガポール
Slovakia	19	20	2012	スロバキア
Slovenia	18	20	2012	スロベニア
Spain	30	21	2012	スペイン
Sweden	26.3	25	2012	スウェーデン
Switzerland	18.06	8	2012	スイス
Taiwan, Province of China	17	5	2012	台湾
Thailand	23	7	2012	タイ
Turkey	20	18	2012	トルコ
United Kingdom	24	20	2012	英国
United States	40	7.25	2012	米国
Viet Nam	25	10	2012	ベトナム
Australia	30	10	2013	オーストラリア
Austria	25	20	2013	オーストリア
Belgium	33.99	21	2013	ベルギー
Brazil	34	19	2013	ブラジル
Canada	26	5	2013	カナダ
Chile	20	19	2013	チリ
China	25	25	2013	中国
Czech Republic	19	21	2013	チェコ
Denmark	25	25	2013	デンマーク
Estonia	21	20	2013	エストニア
Finland	24.5	24	2013	フィンランド
France	33.33	19.6	2013	フランス
Germany	29.55	19	2013	ドイツ
Greece	26	23	2013	ギリシャ
Hong Kong SAR	16.5		2013	香港
Hungary	19	27	2013	ハンガリー
Iceland	20	25.5	2013	アイスランド
India	33.99	13	2013	インド
Indonesia	25	10	2013	インドネシア
Ireland	12.5	23	2013	アイルランド
Israel	25	18	2013	イスラエル
Italy	31.4	21	2013	イタリア
Japan	38.01	5	2013	日本
Korea, Republic of	24.2	10	2013	韓国
Luxembourg	29.22	15	2013	ルクセンブルグ
Malaysia	25	10	2013	マレーシア
Mexico	30	16	2013	メキシコ
Netherlands	25	21	2013	オランダ
New Zealand	28	15	2013	ニュージーランド
Norway	28	25	2013	ノルウェー
Philippines	30	12	2013	フィリピン
Poland	19	23	2013	ポーランド
Portugal	25	23	2013	ポルトガル
Russian Federation	20	18	2013	ロシア
Singapore	17	7	2013	シンガポール
Slovakia	23	20	2013	スロバキア
Slovenia	17	22	2013	スロベニア
Spain	30	21	2013	スペイン
Sweden	22	25	2013	スウェーデン
Switzerland	18.01	8	2013	スイス
Taiwan, Province of China	17	5	2013	台湾
Thailand	20	7	2013	タイ
Turkey	20	18	2013	トルコ
United Kingdom	23	20	2013	英国
United States	40	7.5	2013	米国
Viet Nam	25	10	2013	ベトナム
Australia	30	10	2014	オーストラリア
Austria	25	20	2014	オーストリア
Belgium	33.99	21	2014	ベルギー
Brazil	34	19	2014	ブラジル
Canada	26.5	5	2014	カナダ
Chile	20	19	2014	チリ
China	25	17	2014	中国
Czech Republic	19	21	2014	チェコ
Denmark	24.5	25	2014	デンマーク
Estonia	21	20	2014	エストニア
Finland	20	24	2014	フィンランド
France	33.33	20	2014	フランス
Germany	29.58	19	2014	ドイツ
Greece	26	23	2014	ギリシャ
Hong Kong SAR	16.5		2014	香港
Hungary	19	27	2014	ハンガリー
Iceland	20	25.5	2014	アイスランド
India	33.99	14	2014	インド
Indonesia	25	10	2014	インドネシア
Ireland	12.5	23	2014	アイルランド
Israel	26.5	18	2014	イスラエル
Italy	31.4	22	2014	イタリア
Japan	35.64	8	2014	日本
Korea, Republic of	24.2	10	2014	韓国
Luxembourg	29.22	15	2014	ルクセンブルグ
Malaysia	25	10	2014	マレーシア
Mexico	30	16	2014	メキシコ
Netherlands	25	21	2014	オランダ
New Zealand	28	15	2014	ニュージーランド
Norway	27	25	2014	ノルウェー
Philippines	30	12	2014	フィリピン
Poland	19	23	2014	ポーランド
Portugal	23	23	2014	ポルトガル
Russian Federation	20	18	2014	ロシア
Singapore	17	7	2014	シンガポール
Slovakia	22	20	2014	スロバキア
Slovenia	17	22	2014	スロベニア
Spain	30	21	2014	スペイン
Sweden	22	25	2014	スウェーデン
Switzerland	17.92	8	2014	スイス
Taiwan, Province of China	17	5	2014	台湾
Thailand	20	7	2014	タイ
Turkey	20	18	2014	トルコ
United Kingdom	21	20	2014	英国
United States	40	7.5	2014	米国
Viet Nam	22	10	2014	ベトナム
Australia	30	10	2015	オーストラリア
Austria	25	20	2015	オーストリア
Belgium	33.99	21	2015	ベルギー
Brazil	34	19	2015	ブラジル
Canada	26.5	5	2015	カナダ
Chile	22.5	19	2015	チリ
China	25	17	2015	中国
Czech Republic	19	21	2015	チェコ
Denmark	23.5	25	2015	デンマーク
Estonia	20	20	2015	エストニア
Finland	20	24	2015	フィンランド
France	33.33	20	2015	フランス
Germany	29.65	19	2015	ドイツ
Greece	26	23	2015	ギリシャ
Hong Kong SAR	16.5	0	2015	香港
Hungary	19	27	2015	ハンガリー
Iceland	20	24	2015	アイスランド
India	34.61	14	2015	インド
Ireland	12.5	23	2015	アイルランド
Israel	26.5	18	2015	イスラエル
Italy	31.4	22	2015	イタリア
Japan	33.06	8	2015	日本
Korea, Republic of	24.2	10	2015	韓国
Luxembourg	29.22	17	2015	ルクセンブルグ
Malaysia	25	6	2015	マレーシア
Mexico	30	16	2015	メキシコ
