Location	Corporate tax rates	Indirect tax rates	difference
Ireland	12.5	23	-10.5
Hungary	19	27	-8
Slovenia	17	22	-5
Finland	20	24	-4
Iceland	20	24	-4
Poland	19	23	-4
Sweden	22	25	-3
Czech Republic	19	21	-2
Portugal	21	23	-2
Denmark	23.5	25	-1.5
Estonia	20	20	0
Norway	27	25	2
Russian Federation	20	18	2
Slovakia	22	20	2
Turkey	20	18	2
Greece	26	23	3
United Kingdom	20	20	0
Chile	22.5	19	3.5
Netherlands	25	21	4
Austria	25	20	5
Spain	28	21	7
China	25	17	8
Israel	26.5	18	8.5
Italy	31.4	22	9.4
Switzerland	17.92	8	9.92
Singapore	17	7	10
Germany	29.65	19	10.65
Taiwan, Province of China	17	5	12
Viet Nam	22	10	12
Luxembourg	29.22	17	12.22
Belgium	33.99	21	12.99
New Zealand	28	15	13
Thailand	20	7	13
France	33.33	20	13.33
Mexico	30	16	14
Korea, Republic of	24.2	10	14.2
Brazil	34	19	15
Indonesia	25	10	15
Hong Kong SAR	16.5	0	16.5
Philippines	30	12	18
Malaysia	25	6	19
Australia	30	10	20
India	34.61	14	20.61
Canada	26.5	5	21.5
Japan	33.06	8	25.06
United States	40	0	40
